FileName,Tag,TagName,VR,Value
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0000) : Group header for group 0002;UnsignedLong;System.UInt32;188
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0001) : FileMetaInformationVersion;OtherByteString;System.Byte;0
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0002) : MediaStorageSOPClassUID;UniqueIdentifier;System.String;1.2.840.10008.5.1.4.1.1.481.2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0003) : MediaStorageSOPInstanceUID;UniqueIdentifier;System.String;1.2.246.352.71.7.336529019833.3193906.20230419131429
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0010) : TransferSyntaxUID;UniqueIdentifier;System.String;1.2.840.10008.1.2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0012) : ImplementationClassUID;UniqueIdentifier;System.String;1.2.246.352.70.2.1.160.3
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0013) : ImplementationVersionName;ShortString;System.String;DCIE 16.1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0005) : SpecificCharacterSet;CodeString;System.String;ISO_IR 192
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0012) : InstanceCreationDate;Date;System.Nullable`1[System.DateTime];24-11-2023 00:00:00
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0013) : InstanceCreationTime;Time;System.Nullable`1[System.DateTime];24-11-2023 22:06:02
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0016) : SOPClassUID;UniqueIdentifier;System.String;1.2.840.10008.5.1.4.1.1.481.2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0018) : SOPInstanceUID;UniqueIdentifier;System.String;1.2.246.352.71.7.336529019833.3193906.20230419131429
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0020) : StudyDate;Date;System.Nullable`1[System.DateTime];18-04-2023 00:00:00
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0021) : SeriesDate;Date;System.Nullable`1[System.DateTime];19-04-2023 00:00:00
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0023) : ContentDate;Date;System.Nullable`1[System.DateTime];19-04-2023 00:00:00
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0030) : StudyTime;Time;System.Nullable`1[System.DateTime];24-11-2023 08:22:35
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0031) : SeriesTime;Time;System.Nullable`1[System.DateTime];24-11-2023 13:10:20
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0033) : ContentTime;Time;System.Nullable`1[System.DateTime];24-11-2023 13:10:20
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0050) : AccessionNumber;ShortString;System.String;
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0060) : Modality;CodeString;System.String;RTDOSE
