filename;obj_type;DicomTag:TagName;TagValue;obj_type2
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.71.7.336529019833.3193906.20230419131429;Other
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0008,0018) : SOPInstanceUID;1.2.246.352.71.7.336529019833.3193906.20230419131429;Other
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0020,000D) : StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973;Other
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0020,000E) : SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080500.20230419131020;Other
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051;Other
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0008,1155) : ReferencedSOPInstanceUID;1.2.246.352.71.4.336529019833.1204433.20230421110712;Other
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;dose;(0020,0052) : FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010;Other
RI.1.2.246.352.62.1.5392505312040230222.7038532742987960972.dcm;image;(0002,0002) : MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;image;(0002,0003) : MediaStorageSOPInstanceUID;1.2.246.352.62.1.5019659855631930582.13997658343355337359;Other
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;image;(0002,0010) : TransferSyntaxUID;1.2.840.10008.1.2;dose
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;image;(0002,0012) : ImplementationClassUID;1.2.246.352.70.2.1.160.3;Other
RI.1.2.246.352.62.1.5392505312040230222.7038532742987960972.dcm;image;(0008,0016) : SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1;image
