filename;DicomTag;TagName;TagValue
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.71.7.336529019833.3193906.20230419131429
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.71.7.336529019833.3193906.20230419131429
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.71.2.336529019833.18080500.20230419131020
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.4.336529019833.1204433.20230421110712
RD.1.2.246.352.71.7.336529019833.3193906.20230419131429.dcm;(0020,0052);FrameOfReferenceUID;1.3.12.2.1107.5.1.4.67129.30000023041806302887300000010
RI.1.2.246.352.62.1.5392505312040230222.7038532742987960972.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.62.1.5019659855631930582.13997658343355337359
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.62.1.5392505312040230222.7038532742987960972.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.62.1.5019659855631930582.13997658343355337359
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0008,3010);IrradiationEventUID;1.2.246.352.62.30.4905376514916076527.2553969282574199462
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0020,000D);StudyInstanceUID;1.2.246.352.76.1.336529019833.521146.2310829075973
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0020,000E);SeriesInstanceUID;1.2.246.352.62.2.5465090775852390527.2639874180836883357
RI.1.2.246.352.62.1.5749139291130314037.14740269236949962406.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0008,1155);ReferencedSOPInstanceUID;1.2.246.352.71.5.336529019833.1777377.20230419131051
RI.1.2.246.352.62.1.5019659855631930582.13997658343355337359.dcm;(0020,0052);FrameOfReferenceUID;1.2.246.352.62.3.4667486624640129643.14395182237456350889
RI.1.2.246.352.62.1.5749139291130314037.14740269236949962406.dcm;(0008,0016);SOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0002,0003);MediaStorageSOPInstanceUID;1.2.246.352.62.1.5248941889343008562.17770165989386809023
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0002,0010);TransferSyntaxUID;1.2.840.10008.1.2
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0002,0012);ImplementationClassUID;1.2.246.352.70.2.1.160.3
RI.1.2.246.352.62.1.5750095811815345682.8939250229568374690.dcm;(0002,0002);MediaStorageSOPClassUID;1.2.840.10008.5.1.4.1.1.481.1
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0008,0018);SOPInstanceUID;1.2.246.352.62.1.5248941889343008562.17770165989386809023
RI.1.2.246.352.62.1.5248941889343008562.17770165989386809023.dcm;(0008,3010);IrradiationEventUID;1.2.246.352.62.30.5066269784655939534.15093334201208118967
